source_table,run_id,row_count,min_trade_date,max_trade_date,feature_scope_id_sample,universe_id_sample,error
model_runs,7f67cc2b67dc,1,,,all,,
model_runs,521f828df14b,1,,,all,,
model_runs,5f79a9cf3610,1,,,all,,
model_runs,559265f259e0,1,,,all,,
model_runs,c7c7cafcd987,1,,,all,universe:2026关注_b29c353d,
model_runs,51a625987d93,1,,,universe:universe:2026关注_b29c353d:with_custom,universe:2026关注_b29c353d,
model_runs,3ffd4aa4e63c,1,,,all,,
model_runs,e6f2a6e70267,1,,,all,universe:2026关注_b29c353d,
model_runs,5e429b990c71,1,,,all,,
model_runs,d8122a6b1539,1,,,all,,
model_runs,2ee30def1674,1,,,all,,
model_runs,37bc5fb5007f,1,,,all,,
model_runs,229c00a04097,1,,,all,,
model_runs,3976f04da5bb,1,,,all,,
model_runs,b8c07fa771e5,1,,,all,,
model_runs,bea7ff20106a,1,,,all,,
model_runs,cde041235b12,1,,,all,universe:2026关注_b29c353d,
model_runs,8c4e7ea2ac80,1,,,universe:universe:2026关注_b29c353d:with_custom,universe:2026关注_b29c353d,
model_runs,e94e98642e49,1,,,universe:universe:2026关注_b29c353d:with_custom,universe:2026关注_b29c353d,
model_runs,c7635a6cec46,1,,,all,,
model_runs,2b300d88e8d1,1,,,all,universe:2026关注_b29c353d,
model_runs,1e8e3264c723,1,,,all,,
model_runs,372c17e6f518,1,,,universe:universe:2026关注_b29c353d:with_custom,universe:2026关注_b29c353d,
model_runs,0045947bb002,1,,,all,,
model_runs,b59117f64b8e,1,,,all,,
sector_state_daily,bea7ff20106a,584981,2020-02-07,2026-05-28,,,
sector_state_daily,b59117f64b8e,584981,2020-02-07,2026-05-28,,,
sector_state_daily,1e8e3264c723,584680,2020-02-07,2026-05-25,,,
sector_state_daily,3976f04da5bb,137250,2020-02-07,2026-05-22,,,
sector_state_daily,229c00a04097,77571,2020-02-07,2026-05-18,,,
sector_state_daily,b8c07fa771e5,77571,2020-02-07,2026-05-18,,,
sector_state_daily,5e429b990c71,77571,2020-02-07,2026-05-18,,,
sector_state_daily,3ffd4aa4e63c,47151,2020-02-07,2026-05-18,,,
sector_state_daily,37bc5fb5007f,47151,2020-02-07,2026-05-18,,,
