fold_id,horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
fold_1,1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,2,0.00273224043715847,1.0,0.5,0.0028307417006047143,0.014818765116904059,,,,,0.0,2.489795918367347,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.008231150910879066,0.00943815142673814,insufficient_unique_scores
fold_1,3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,41,0.056010928961748634,1.0,0.5,0.05610881310882835,0.05608791319537758,,,,,1.2063282794990113,1.457441513190642,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.012954293682343038,insufficient_unique_scores
fold_1,5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,732,732,49,0.06693989071038252,1.0,0.5,0.07322163823740116,0.06455337946788496,,,,,1.009376723662438,1.2194918783840065,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
fold_1,5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,732,732,0,0.0,1.0,,,0.012702398548777215,,,,,,,-0.011634388920119282,0.01343598019529283,insufficient_unique_scores
