horizon,threshold_type,threshold_value,target_usage,baseline_family,baseline_name,row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_like_score_if_score_in_0_1,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,spearman_score_vs_future_return,quantile_lift_top_decile,quantile_lift_top_quintile,top_decile_future_mae_mean,top_decile_future_mdd_mean,monotonic_decile_event_rate_status
1,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,17,0.007741347905282332,1.0,0.28263099640957806,0.004723829894956997,0.0122510240735764,-0.06999793673034523,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.5871657754010695,0.5871657754010695,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,1,0.0004553734061930783,1.0,0.16651480637813212,0.0006807351940095302,0.005328082212069635,-0.02614137139488797,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,0.0,0.0,-0.005048699334649699,0.008397846285169404,non_monotonic
1,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,,,-0.005048699334649699,0.008397846285169404,insufficient_unique_scores
1,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.08088915455248735,0.023606034927481853,-0.08088915455248735,,,-0.005048699334649699,0.008397846285169404,insufficient_unique_scores
3,fixed,0.03,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,89,0.04052823315118397,1.0,0.5624563386891208,0.04808492474909855,0.04012598600137359,0.045252058621452464,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,1.5701736465781408,0.841164453524004,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.05,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,9,0.004098360655737705,1.0,0.35124218869074836,0.0031381976054551614,0.008753765272178924,-0.03491885339192827,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,0.0,0.0,-0.009385796652212418,0.013076496109696214,non_monotonic
3,fixed,0.08,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,,,-0.009385796652212418,0.013076496109696214,insufficient_unique_scores
3,fixed,0.1,diagnostic_only,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.11337132802118412,0.0518266837283188,-0.2525640528438159,,,-0.009385796652212418,0.013076496109696214,insufficient_unique_scores
5,fixed,0.03,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,116,0.052823315118397086,1.0,0.5606763925729443,0.06385169423990872,0.05098077712681776,0.049867197640638516,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,1.2047021943573666,0.7314263322884013,-0.009460489116031067,0.014368808925056778,pass
5,fixed,0.05,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,17,0.007741347905282332,1.0,0.4209567259671193,0.00644036209500686,0.012080541228463077,-0.025453795174670987,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,0.0,0.0,-0.009460489116031067,0.014368808925056778,non_monotonic
5,fixed,0.08,eligible,empirical_event_rate,rolling_global_event_rate,2196,2196,0,0.0,1.0,,,0.004879266182925737,,-0.16145015302296653,0.01478623796697992,-0.22668898976622212,,,-0.009460489116031067,0.014368808925056778,insufficient_unique_scores
