asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,readiness_category,development_only,evaluation_row_count,positive_event_count,negative_event_count,mean_brier_score,mean_brier_retention,validation_market_event_block_count,mean_log_loss,mean_expected_calibration_error,max_expected_calibration_error,mean_auc,mean_average_precision,clustered_uncertainty_width,fold_count,readiness_reason
close_t_minus_1,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,6383,151059,0.155476122830077,0.0,7,0.49089818640332183,0.3239021101707832,0.7022351729980064,0.6363189093922959,0.07314368433608398,0.01386481217810498,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.03,diagnostic_only,platt_logistic_calibration,research_only,yes,157442,6383,151059,0.038968900303163564,0.11650722252691345,7,0.17091953794147768,0.023501845020471552,0.166887352691518,0.6324858533228224,0.07258375370097712,0.03672869895740859,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.03,diagnostic_only,isotonic_calibration,research_only,yes,157442,6383,151059,0.03879900608388691,0.11667711674619012,7,0.1709301153164398,0.020882075486018156,0.03661845935011087,0.6355729945061344,0.07425463643499947,0.036360861880550016,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,1702,155740,0.09499352112733879,0.0,1,0.3390250614471252,0.24977794040434934,0.7561525050937619,0.66407365896407,0.029934507463847838,0.015012308561207666,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.05,diagnostic_only,platt_logistic_calibration,research_only,yes,157442,1702,155740,0.010742241906283269,0.0842512792210555,1,0.06207895046311518,0.009857068241370977,0.03379800228893334,0.6909389701310357,0.030571315577450586,0.022108681344470967,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.05,diagnostic_only,isotonic_calibration,research_only,yes,157442,1702,155740,0.01067794525854679,0.08431557586879199,1,0.07456085270644972,0.0072299105727158,0.0210603836661595,0.6706905143901054,0.030062740977987536,0.022029597382432483,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,381,157061,0.04956179958278456,0.0,0,0.2018266214399361,0.1563171984047122,0.7911370144864591,0.74031017858626,0.03357679653148059,0.010329395838632183,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,research_only,yes,141694,297,141397,0.0020997862690371734,0.04594937998033713,0,0.015296910120983994,0.0026283562646496343,0.0056804788629281015,0.6011172926900297,0.033109396668739625,0.0007698124814476965,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.08,diagnostic_only,isotonic_calibration,research_only,yes,141694,297,141397,0.0020842350976283527,0.04596493115174596,0,0.025309079776336566,0.0009779481926380665,0.010895064831288789,0.7107707127435285,0.02741951858321482,0.0007478134363503139,10,diagnostic_only_target_usage
close_t_minus_1,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,118,157324,0.028856789815765376,0.0,0,0.13438812316115156,0.11010519668931673,0.7485843313749754,0.7232109942025629,0.03294432656058147,0.01534592625174061,10,diagnostic_only_target_usage
