fold_id,train_start_date,train_end_date,validation_start_date,validation_end_date,validation_trade_date_count,train_row_count,validation_row_count,horizon,threshold_type,threshold_value,target_usage,slice_train_row_count,slice_validation_row_count,validation_positive_count,validation_market_event_block_count,validation_idiosyncratic_episode_count
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,1,fixed,0.03,diagnostic_only,59816,31331,2245,14,145
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,1,fixed,0.05,diagnostic_only,59816,31331,1119,10,81
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,1,fixed,0.08,diagnostic_only,59816,31331,366,3,16
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,1,fixed,0.1,diagnostic_only,59816,31331,13,0,10
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,3,fixed,0.03,diagnostic_only,59570,31331,6032,13,153
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,3,fixed,0.05,diagnostic_only,59570,31331,3417,9,75
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,3,fixed,0.08,diagnostic_only,59570,31331,1220,5,82
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,3,fixed,0.1,diagnostic_only,59570,31331,623,4,17
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,5,fixed,0.03,eligible,59324,31331,8315,9,100
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,5,fixed,0.05,eligible,59324,31331,5028,8,90
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,5,fixed,0.08,eligible,59324,31331,2343,7,59
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,5,fixed,0.1,eligible,59324,31331,1510,4,54
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,10,fixed,0.03,eligible,58709,31331,12372,5,43
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,10,fixed,0.05,eligible,58709,31331,8222,7,26
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,10,fixed,0.08,eligible,58709,31331,4153,5,30
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,10,fixed,0.1,eligible,58709,31331,2741,3,51
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,20,fixed,0.03,diagnostic_only,57479,31331,16156,2,1
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,20,fixed,0.05,eligible,57479,31331,11808,2,2
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,20,fixed,0.08,eligible,57479,31331,6600,4,15
fold_1,2014-01-02,2015-12-31,2016-01-04,2017-01-16,254,1179592,626620,20,fixed,0.1,eligible,57479,31331,4400,4,39
fold_2,2014-01-02,2017-01-16,2017-01-17,2018-01-26,253,1806056,627440,1,fixed,0.03,diagnostic_only,91146,31372,910,9,253
fold_2,2014-01-02,2017-01-16,2017-01-17,2018-01-26,253,1806056,627440,1,fixed,0.05,diagnostic_only,91146,31372,185,1,92
