fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,feature_name,feature_family,coefficient,abs_coefficient
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_close_to_close_vol_20,realized_volatility,0.005516781971933832,0.005516781971933832
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_close_to_close_vol_60,realized_volatility,-0.002674061566799914,0.002674061566799914
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,ewma_close_to_close_vol,realized_volatility,-0.07694633882075437,0.07694633882075437
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_downside_vol_20,realized_volatility,0.5517546409068689,0.5517546409068689
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_downside_vol_60,realized_volatility,-0.29595055320580477,0.29595055320580477
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,parkinson_vol_20,range_based_volatility,-0.25967761863267236,0.25967761863267236
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,parkinson_vol_60,range_based_volatility,-0.04988794598723598,0.04988794598723598
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,garman_klass_vol_20,range_based_volatility,0.4272641101207664,0.4272641101207664
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,garman_klass_vol_60,range_based_volatility,0.12524203701273143,0.12524203701273143
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rogers_satchell_vol_20,range_based_volatility,0.4324323324333413,0.4324323324333413
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rogers_satchell_vol_60,range_based_volatility,-0.021187036857309695,0.021187036857309695
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,intraday_range_ratio_20,range_based_volatility,0.47203134574270994,0.47203134574270994
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_max_drawdown_20,recent_drawdown,-0.4906084941366115,0.4906084941366115
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_max_drawdown_60,recent_drawdown,0.07527491671423565,0.07527491671423565
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,rolling_distance_from_high_20,recent_drawdown,0.1805861084807665,0.1805861084807665
