fold_id,asof_mode,model_variant,horizon,threshold_type,threshold_value,target_usage,row_count,train_row_count,validation_row_count,scored_row_count,positive_event_count,event_base_rate,score_available_rate,roc_auc,average_precision,brier_score_uncalibrated,log_loss_uncalibrated,spearman_score_vs_event,spearman_score_vs_future_mae,spearman_score_vs_future_mdd,quantile_lift_top_decile,quantile_lift_top_quintile,coefficient_l1_norm,coefficient_l2_norm,convergence_status,insufficient_data_reason,best_wp3_baseline_auc,best_wp3_baseline_average_precision,logistic_delta_auc_vs_best_baseline,logistic_delta_ap_vs_best_baseline,logistic_beats_best_baseline_flag
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,732,732,732,732,2,0.00273224043715847,1.0,0.5938356164383561,0.013436225240758652,0.058408496178481865,0.22963888911863423,0.016967743348596374,-0.15473319838337857,0.16274516749168152,4.9459459459459465,2.489795918367347,2.4561693468896864,1.0276774433818197,converged,,0.5545267489711934,0.0128673957621326,0.03930886746716278,0.0005688294786260518,True
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,732,488,732,732,41,0.056010928961748634,1.0,0.5,0.05610881310882835,0.25,0.6931471805599453,,,,1.2063282794990113,1.457441513190642,0.0,0.0,converged,,0.5740178602943772,0.1168512743697225,-0.07401786029437718,-0.060742461260894144,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,732,488,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,732,488,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,732,488,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,732,244,732,732,49,0.06693989071038252,1.0,0.5,0.07322163823740116,0.25,0.6931471805599453,,,,1.009376723662438,1.2194918783840065,0.0,0.0,converged,,0.581483252158843,0.1168512743697225,-0.081483252158843,-0.043629636132321334,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,732,244,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,732,244,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,732,244,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,732,0,732,0,58,0.07923497267759563,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.5647702854804052,0.1476296243138916,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,732,0,732,0,2,0.00273224043715847,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7938356164383562,0.021329365079365,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,732,0,732,0,67,0.09153005464480875,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.5594546066659185,0.1469381011482581,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,732,0,732,0,8,0.01092896174863388,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.6465814917127072,0.1778223355956295,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.08,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.1,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,732,732,732,732,2,0.00273224043715847,1.0,0.523972602739726,0.005050146655312707,0.032904491437941635,0.13140308014023513,0.004334824943072067,0.12623666434012967,-0.056878995283384186,0.0,0.0,4.925616430493205,1.8886856532519365,converged,,0.5545267489711934,0.0128673957621326,-0.03055414623146735,-0.007817249106819893,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,732,732,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,732,488,732,732,41,0.056010928961748634,1.0,0.5,0.05610881310882835,0.25,0.6931471805599453,,,,1.2063282794990113,1.457441513190642,0.0,0.0,converged,,0.5740178602943772,0.1168512743697225,-0.07401786029437718,-0.060742461260894144,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,732,488,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,732,488,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,732,488,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,732,244,732,732,49,0.06693989071038252,1.0,0.5,0.07322163823740116,0.25,0.6931471805599453,,,,1.009376723662438,1.2194918783840065,0.0,0.0,converged,,0.581483252158843,0.1168512743697225,-0.081483252158843,-0.043629636132321334,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,732,244,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,732,244,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,732,244,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,732,0,732,0,58,0.07923497267759563,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.5647702854804052,0.1476296243138916,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,732,0,732,0,2,0.00273224043715847,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7938356164383562,0.021329365079365,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,732,0,732,0,67,0.09153005464480875,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.5594546066659185,0.1469381011482581,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,732,0,732,0,8,0.01092896174863388,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.6465814917127072,0.1778223355956295,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.08,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_1,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.1,eligible,732,0,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,empty_training_rows,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,732,1464,732,732,2,0.00273224043715847,1.0,0.6760273972602739,0.020089285714285712,0.16370464920346114,0.5107498999148934,0.03183000029627203,-0.1664941166190707,0.06585348812397254,4.9459459459459465,2.489795918367347,6.086288757655255,2.697237932287533,converged,,0.7547945205479452,0.0082824610741477,-0.07876712328767121,0.011806824640138013,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,732,1220,732,732,23,0.031420765027322405,1.0,0.5345557122708039,0.04702604089024399,0.21400338156621504,0.6194002876786611,0.02088270877716168,-0.18820519487059634,0.06721557543159416,2.1504112808460634,1.2990239574090505,5.16252772494531,2.329586305526578,converged,,0.6825289752866867,0.1248236973578163,-0.14797326301588276,-0.07779765646757231,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,732,1220,732,732,5,0.006830601092896175,1.0,0.5496561210453921,0.01791428131313897,0.07455522022775578,0.2986103833896613,0.014167882482120177,0.2233445819504318,-0.19217312366630657,1.9783783783783786,1.9918367346938775,5.286333866185847,2.2623468288218747,converged,,0.6789546079779918,0.036679934526737,-0.1292984869325997,-0.01876565321359803,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,732,1220,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,732,1220,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,732,976,732,732,38,0.05191256830601093,1.0,0.41445472470802364,0.043940781502879514,0.054200434696704734,0.4112991724497287,-0.06574269587670235,0.2902841386666621,-0.03656044353891586,0.5206258890469417,0.6552094522019334,9.589199116364124,3.7969504976154425,converged,,0.6917943273168512,0.200639660975802,-0.27733960260882756,-0.1566988794729225,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,732,976,732,732,13,0.017759562841530054,1.0,0.35027281480688993,0.014411922415203567,0.020625993223870303,0.189442766437909,-0.0685041258212923,0.2969219129524757,-0.014527387637505754,0.760914760914761,0.38304552590266877,9.719922715894002,4.163347186822879,converged,,0.731464641061303,0.117960283549305,-0.3811918262544131,-0.10354836113410143,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,732,976,732,732,0,0.0,1.0,,,0.0030820240958393777,0.01782009163911513,,0.30142474562571936,-0.007924477544822303,,,9.954265876488499,4.209361579582208,converged,,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,732,976,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,732,366,732,732,43,0.05874316939890711,1.0,0.5,0.05513356423264858,0.25,0.6931471805599453,,,,1.6103079824010056,1.5054579971523492,0.0,0.0,converged,,0.7147534343673001,0.2239218231303341,-0.2147534343673001,-0.1687882588976855,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,732,366,732,732,16,0.02185792349726776,1.0,0.5,0.020628361664757802,0.25,0.6931471805599453,,,,0.6182432432432433,1.2448979591836735,0.0,0.0,converged,,0.7301850558659218,0.1118292997545039,-0.23018505586592175,-0.0912009380897461,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,732,366,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,732,366,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,732,0,732,0,84,0.11475409836065574,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7063675778953556,0.3086667824226162,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,732,0,732,0,40,0.0546448087431694,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7214956647398844,0.2358817580935756,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.08,eligible,732,0,732,0,10,0.01366120218579235,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.8335180055401662,0.336928122069788,,,False
fold_2,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.1,eligible,732,0,732,0,2,0.00273224043715847,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.9609589041095892,0.2636986301369863,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,732,1464,732,732,2,0.00273224043715847,1.0,0.37054794520547946,0.003227956183098005,0.23395134496738892,0.6577705422742618,-0.02340805469258916,-0.2934472519567952,0.13386269192707842,0.0,0.0,8.62315855769416,2.849907485474394,converged,,0.7547945205479452,0.0082824610741477,-0.3842465753424657,-0.0050545048910496946,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.1,diagnostic_only,732,1464,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.03,diagnostic_only,732,1220,732,732,23,0.031420765027322405,1.0,0.5195314895443675,0.03315384600376435,0.06794280883565035,0.27020266074233107,0.011803270178395733,0.29896678322603654,-0.11183242056989583,0.8601645123384254,0.6495119787045253,11.007397366536274,4.504827355342372,converged,,0.6825289752866867,0.1248236973578163,-0.1629974857423192,-0.09166985135405195,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.05,diagnostic_only,732,1220,732,732,5,0.006830601092896175,1.0,0.5160935350756534,0.016349639850117375,0.05161748178243746,0.24842012180593093,0.004591806787833963,-0.10031934022254657,-0.02257471460665897,1.9783783783783786,0.9959183673469387,10.02101597196459,3.9420152158782096,converged,,0.6789546079779918,0.036679934526737,-0.16286107290233842,-0.020330294676619624,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.08,diagnostic_only,732,1220,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,3,fixed,0.1,diagnostic_only,732,1220,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.03,eligible,732,976,732,732,38,0.05191256830601093,1.0,0.4250341271045048,0.05060802056768724,0.05174500627137244,0.28359560198644873,-0.057612282689822936,0.2273043248346966,-0.11309694447347618,1.0412517780938835,0.5241675617615467,10.67260640690391,4.388714739541029,converged,,0.6917943273168512,0.200639660975802,-0.2667602002123464,-0.15003164040811476,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.05,eligible,732,976,732,732,13,0.017759562841530054,1.0,0.39103455654220604,0.016409603594062207,0.019368525026126227,0.12715970771085708,-0.04985455673382366,0.22362122089313624,-0.02221020442333876,0.0,0.7660910518053375,8.188431482667914,3.524451482507632,converged,,0.731464641061303,0.117960283549305,-0.340430084519097,-0.10155067995524279,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.08,eligible,732,976,732,732,0,0.0,1.0,,,0.001414823426144848,0.01602694687348417,,0.22639541201564511,-0.02868386051544077,,,7.414719751555155,3.024514246053409,converged,,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,5,fixed,0.1,eligible,732,976,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.03,eligible,732,366,732,732,43,0.05874316939890711,1.0,0.5,0.05513356423264858,0.25,0.6931471805599453,,,,1.6103079824010056,1.5054579971523492,0.0,0.0,converged,,0.7147534343673001,0.2239218231303341,-0.2147534343673001,-0.1687882588976855,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.05,eligible,732,366,732,732,16,0.02185792349726776,1.0,0.5,0.020628361664757802,0.25,0.6931471805599453,,,,0.6182432432432433,1.2448979591836735,0.0,0.0,converged,,0.7301850558659218,0.1118292997545039,-0.23018505586592175,-0.0912009380897461,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.08,eligible,732,366,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,10,fixed,0.1,eligible,732,366,732,732,0,0.0,1.0,,,0.25,0.6931471805599453,,,,,,0.0,0.0,converged,,,,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.03,diagnostic_only,732,0,732,0,84,0.11475409836065574,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7063675778953556,0.3086667824226162,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.05,eligible,732,0,732,0,40,0.0546448087431694,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.7214956647398844,0.2358817580935756,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.08,eligible,732,0,732,0,10,0.01366120218579235,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.8335180055401662,0.336928122069788,,,False
fold_2,close_t,sklearn_logistic_regression_l2_lbfgs,20,fixed,0.1,eligible,732,0,732,0,2,0.00273224043715847,0.0,,,,,,,,,,,,skipped,empty_training_rows,0.9609589041095892,0.2636986301369863,,,False
fold_3,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.03,diagnostic_only,732,2196,732,732,13,0.017759562841530054,1.0,0.23280196854605756,0.013419748727962947,0.20873666274200514,0.6063785971102317,-0.1222501280733673,-0.08226829736991384,-0.061921048603220466,0.760914760914761,0.38304552590266877,12.94646658710149,4.7277791669605165,converged,,0.8840269605220926,0.1501558497691365,-0.6512249919760351,-0.13673610104117356,False
fold_3,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.05,diagnostic_only,732,2196,732,0,1,0.001366120218579235,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,0.9931600547195624,0.2,,,False
fold_3,close_t_minus_1,sklearn_logistic_regression_l2_lbfgs,1,fixed,0.08,diagnostic_only,732,2196,732,0,0,0.0,0.0,,,,,,,,,,,,skipped,insufficient_positive_training_events,,,,,False
