trade_date,entity_id,sector_name,split_role,target_usage,horizon,threshold_type,threshold_value,target_kind,target_observation_start_date,target_observation_end_date,future_return,future_mae,future_mdd,future_realized_vol,future_downside_vol,event_label,censoring_status,exclusion_reason,sample_weight,source_db_path,created_at
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,1,fixed,0.03,downside_event,2014-01-03,2014-01-03,0.016142204625043455,0.016142204625043455,0.0,0.0,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,1,fixed,0.05,downside_event,2014-01-03,2014-01-03,0.016142204625043455,0.016142204625043455,0.0,0.0,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,1,fixed,0.08,downside_event,2014-01-03,2014-01-03,0.016142204625043455,0.016142204625043455,0.0,0.0,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,1,fixed,0.1,downside_event,2014-01-03,2014-01-03,0.016142204625043455,0.016142204625043455,0.0,0.0,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,3,fixed,0.03,downside_event,2014-01-03,2014-01-07,0.001235094971974604,-0.008266718982124499,0.024021168982125696,0.017591831103593563,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,3,fixed,0.05,downside_event,2014-01-03,2014-01-07,0.001235094971974604,-0.008266718982124499,0.024021168982125696,0.017591831103593563,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,3,fixed,0.08,downside_event,2014-01-03,2014-01-07,0.001235094971974604,-0.008266718982124499,0.024021168982125696,0.017591831103593563,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,diagnostic_only,3,fixed,0.1,downside_event,2014-01-03,2014-01-07,0.001235094971974604,-0.008266718982124499,0.024021168982125696,0.017591831103593563,0.0,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,eligible,5,fixed,0.03,downside_event,2014-01-03,2014-01-09,0.007803061588862903,-0.008266718982124499,0.024021168982125696,0.017746464789798796,0.004807989462003913,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
2014-01-02,industry:IT服务Ⅱ,IT服务Ⅱ,historical_development,eligible,5,fixed,0.05,downside_event,2014-01-03,2014-01-09,0.007803061588862903,-0.008266718982124499,0.024021168982125696,0.017746464789798796,0.004807989462003913,False,labeled,,1.0,data/db/a_share_hmm_tushare_v7.duckdb,2026-06-10T09:46:05+00:00
