episode_id,start_date,end_date,duration_observations,peak_warning_level,warning_level_counts,peak_component_stress_labels,first_component_stress_labels,dominant_components,max_market_volatility_z,min_market_return_1d,max_breadth_stress_proxy,max_sector_dispersion_z,max_hmm_entropy_or_stress,available_component_count_max,data_availability_notes,annotation_status
stage04-wp2-episode-212,2026-03-02,2026-04-21,36,high,"{""elevated"": 21, ""high"": 7, ""watch"": 8}",market:medium;breadth:high;hmm_confidence:high,breadth:high;sector:high,breadth;market;hmm_confidence;sector,3.3210836089773412,-0.032629592162942256,3.140045107677521,2.917446697096479,3.4841430294032913,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-207,2026-01-05,2026-01-16,10,high,"{""elevated"": 8, ""high"": 2}",breadth:high;sector:high,breadth:high;sector:high,breadth;sector,-0.6594154251728239,-0.008168870782365167,2.9553739646630506,6.86514740326798,0.06643338795254458,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-202,2025-11-18,2025-12-09,16,high,"{""elevated"": 10, ""high"": 1, ""watch"": 5}",breadth:high;sector:medium;hmm_confidence:high,breadth:medium;sector:medium,breadth;hmm_confidence;sector,-0.39477295473983215,-0.024390190473061124,2.525954157383288,1.2471176229756014,2.6500125248274737,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-196,2025-08-08,2025-09-30,38,high,"{""elevated"": 24, ""high"": 7, ""watch"": 7}",market:high;breadth:medium;sector:high;hmm_confidence:medium,market:medium,market;breadth;hmm_confidence;sector,4.298340745637919,-0.02121605532049431,2.7907270488911573,3.298658027365844,4.1778301909310676,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-193,2025-07-17,2025-07-25,7,high,"{""elevated"": 2, ""high"": 1, ""watch"": 4}",breadth:high;sector:high;hmm_confidence:medium,breadth:medium,breadth;sector;hmm_confidence,-0.4385911521866277,-0.005273509052696523,2.738471158727919,2.250472558440756,1.0441952442094988,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-178,2025-04-03,2025-05-07,21,high,"{""elevated"": 11, ""high"": 2, ""watch"": 8}",market:high;breadth:medium;sector:high,sector:medium,market;breadth;sector;hmm_confidence,6.15718817298965,-0.07045448659847209,2.3903428355369694,7.280750868483587,5.360607128707677,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-172,2025-02-05,2025-02-19,11,high,"{""elevated"": 4, ""high"": 1, ""watch"": 6}",breadth:high;sector:high,breadth:high;sector:high,breadth;sector;hmm_confidence,-0.4071320665589476,-0.008770329837361257,3.286810933741177,2.770513049139949,1.4397813419337595,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-162,2024-10-08,2024-11-01,19,high,"{""elevated"": 14, ""high"": 1, ""watch"": 4}",market:high;breadth:high;sector:high,market:high;breadth:high;sector:high,market;sector;breadth,6.040722308995871,-0.07051526044970757,2.7491931588806393,11.463500333245365,0.15800571820929885,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-161,2024-09-24,2024-09-30,5,high,"{""elevated"": 1, ""high"": 4}",market:high;breadth:high;sector:high,market:high;breadth:high;hmm_confidence:medium,breadth;market;sector;hmm_confidence,7.399542912599149,0.014803500093976352,3.5538073371265795,6.679209955308065,1.756771702157163,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-155,2024-07-31,2024-08-20,15,high,"{""elevated"": 4, ""high"": 1, ""watch"": 10}",market:medium;breadth:high;hmm_confidence:high,market:medium;breadth:high;hmm_confidence:high,market;breadth;sector;hmm_confidence,1.9826952177725834,-0.012135126270908403,3.041961607680367,2.415304525520077,3.9201201618641455,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-137,2024-02-19,2024-03-05,12,high,"{""elevated"": 4, ""high"": 1, ""watch"": 7}",market:high;breadth:medium;sector:high,market:high;breadth:medium;sector:high,market;breadth;sector;hmm_confidence,2.5610833865783427,-0.012741824258395984,1.9113642041900862,2.9064791555226104,1.3899563350602424,4,available components remained present across episode rows,unreviewed
stage04-wp2-episode-136,2024-01-17,2024-02-08,17,high,"{""elevated"": 12, ""high"": 5}",market:high;breadth:medium;sector:high,market:medium;breadth:medium,market;breadth;sector,3.1190226825326577,-0.02175177528416672,2.9105416270579716,5.35122695105049,0.08572157130354473,4,available components remained present across episode rows,unreviewed
